begin	end	population	average
0	0.086111111	0.6715702%	
0.086111111	0.113888889	0.8314679%	
0.113888889	0.141666667	3.5497282%	
0.141666667	0.169444444	6.9395587%	
0.169444444	0.197222222	10.6811641%	
0.197222222	0.225	14.3588104%	
0.225	0.252777778	18.0044771%	
0.252777778	0.280555556	12.3760793%	0.2546821
0.280555556	0.308333333	9.4659418%	
0.308333333	0.336111111	9.4659418%	
0.336111111	0.363888889	4.5091142%	
0.363888889	0.391666667	4.0294212%	
0.391666667	0.419444444	2.1426287%	
0.419444444	0.447222222	1.0553246%	
0.447222222	0.475	0.7675088%	
0.475	0.502777778	0.5116725%	
0.502777778	1	0.6395907%	
