begin	end	population	average
0	0.089	0.5728835%	
0.089	0.12233333	1.2094208%	
0.12233333	0.15566667	1.9732654%	
0.15566667	0.189	3.1508593%	
0.189	0.22233333	4.7422024%	
0.22233333	0.25566667	5.9197963%	
0.25566667	0.289	8.2431572%	
0.289	0.32233333	9.7390197%	
0.32233333	0.35566667	10.3119032%	
0.35566667	0.389	10.3437301%	0.3734011
0.389	0.42233333	10.1527689%	
0.42233333	0.45566667	9.3889243%	
0.45566667	0.489	6.6518141%	
0.489	0.52233333	5.2514322%	
0.52233333	0.55566667	4.4875875%	
0.55566667	0.589	2.6098027%	
0.589	0.62233333	1.7823043%	
0.62233333	0.65566667	1.3367282%	
0.65566667	0.689	0.9866327%	
0.689	0.75566667	0.5728835%	
0.75566667	1	0.5410566%	
