begin	end	인구 비율
15.73349	16.50097	0.0636537%
16.50097	17.26846	0.0954806%
17.26846	18.03595	0.4137492%
18.03595	18.80344	1.2094208%
18.80344	19.57092	1.9732654%
19.57092	20.33841	3.1826862%
20.33841	21.1059	4.7422024%
21.1059	21.87339	5.9516232%
21.87339	22.64087	8.2431572%
22.64087	23.40836	9.7390197%
23.40836	24.17585	10.3119032%
24.17585	24.94333	10.3437301%
24.94333	25.71082	10.1209421%
25.71082	26.47831	9.4207511%
26.47831	27.2458	6.6199873%
27.2458	28.01328	5.2514322%
28.01328	28.78077	4.4875875%
28.78077	29.54826	2.6098027%
29.54826	30.31574	1.7823043%
30.31574	31.08323	1.3367282%
31.08323	31.85072	0.9866327%
31.85072	32.61821	0.3182686%
32.61821	33.38569	0.2546149%
33.38569	34.15318	0.2546149%
34.15318	34.92067	0.0954806%
34.92067	35.68816	0.0318269%
35.68816	36.45564	0.0636537%
36.45564	37.22313	0.0318269%
37.22313	37.99062	0.0318269%
37.99062	38.7581	0.0000000%
38.7581	39.52559	0.0318269%
