begin	end	population	average
-0.01703704	0.02	0.0825310%	
0.02	0.05703704	0.0275103%	
0.05703704	0.09407407	0.1375516%	
0.09407407	0.13111111	0.4401651%	
0.13111111	0.16814815	0.6052270%	
0.16814815	0.20518519	1.2379642%	
0.20518519	0.24222222	3.6588721%	
0.24222222	0.27925926	3.7964237%	
0.27925926	0.3162963	5.4470426%	
0.3162963	0.35333333	12.2145805%	
0.35333333	0.39037037	9.5185695%	
0.39037037	0.42740741	9.7111417%	
0.42740741	0.46444444	13.7001376%	0.4387957
0.46444444	0.50148148	9.1609354%	
0.50148148	0.53851852	7.0701513%	
0.53851852	0.57555556	8.8033012%	
0.57555556	0.61259259	4.7042641%	
0.61259259	0.64962963	3.1636864%	
0.64962963	0.68666667	3.3287483%	
0.68666667	0.7237037	1.5405777%	
0.7237037	0.76074074	0.6052270%	
0.76074074	0.79777778	0.5226960%	
0.79777778	0.83481481	0.1650619%	
0.83481481	0.87185185	0.1925722%	
0.87185185	0.90888889	0.0825310%	
0.90888889	0.94592593	0.0550206%	
0.94592593	0.98296296	0.0000000%	
0.98296296	1.02	0.0275103%	
