begin	end	population	average
-0.015	0.025	0.1273075%	
0.025	0.065	1.3367282%	
0.065	0.105	2.2915341%	
0.105	0.145	6.9382559%	
0.145	0.185	9.5798854%	
0.185	0.225	11.1394017%	
0.225	0.265	14.5448759%	
0.265	0.305	12.6352642%	0.2981174
0.305	0.345	11.3940166%	
0.345	0.385	8.1795035%	
0.385	0.425	6.8109484%	
0.425	0.465	3.8192234%	
0.465	0.505	2.9280713%	
0.505	0.545	2.6098027%	
0.545	0.585	1.8141311%	
0.585	0.625	1.3685551%	
0.625	0.665	0.8274984%	
0.665	0.705	0.6365372%	
0.705	0.745	0.3182686%	
0.745	0.785	0.2864418%	
0.785	0.825	0.1909612%	
0.825	0.865	0.0000000%	
0.865	0.905	0.1591343%	
0.905	0.945	0.0000000%	
0.945	0.985	0.0000000%	
0.985	1.025	0.0636537%	
