begin	end	population
null	null	null
null	null	null
null	null	null
97.74278	103.28509	0.693
103.28509	105.96782	1.333
105.96782	108.65055	3.172
108.65055	111.33328	5.810
111.33328	114.01601	8.929
114.01601	116.69874	11.914
116.69874	119.38147	13.513
119.38147	122.0642	12.233
122.0642	124.74693	10.688
124.74693	127.42966	9.568
127.42966	130.11239	9.355
130.11239	132.79512	7.196
132.79512	135.47785	3.891
135.47785	138.16058	1.279
138.16058	148.7146	0.426
null	null	null
null	null	null
null	null	null
