begin	end	인구 비율
70	75.6	0.1116487%
75.6	81.2	0.4465947%
81.2	86.8	0.8187570%
86.8	92.4	3.4983253%
92.4	98	5.3219204%
98	103.6	7.7037588%
103.6	109.2	10.1228135%
109.2	114.8	16.6728694%
114.8	120.4	14.7376256%
120.4	126	9.1924079%
126	131.6	8.5597320%
131.6	137.2	6.2523260%
137.2	142.8	6.2895422%
142.8	148.4	3.1261630%
148.4	154	3.0145143%
154	159.6	0.8559732%
159.6	165.2	1.3397841%
165.2	170.8	0.8931894%
170.8	176.4	0.4093785%
176.4	182	0.2232974%
182	187.6	0.1860811%
187.6	193.2	0.1116487%
193.2	198.8	0.0372162%
198.8	204.4	0.0372162%
204.4	210	0.0372162%
