begin	end	population
null	null	null
null	null	null
null	null	null
1.479686	1.501959	0.756
1.501959	1.5101	0.953
1.5101	1.51824	2.135
1.51824	1.526381	3.219
1.526381	1.534522	4.895
1.534522	1.542662	7.720
1.542662	1.550803	9.166
1.550803	1.558944	9.987
1.558944	1.567084	9.987
1.567084	1.575225	10.151
1.575225	1.583366	9.724
1.583366	1.591506	9.363
1.591506	1.599647	7.753
1.599647	1.607788	5.716
1.607788	1.615929	3.351
1.615929	1.624069	2.300
1.624069	1.63221	1.478
1.63221	1.640351	0.526
1.640351	1.648491	0.427
1.648491	1.675063	0.394
null	null	null
null	null	null
null	null	null
